Country_Region,Province_State,Last Update Date,Last Update Time,Confirmed,Deaths,Recovered
US,Ohio,3/25/2020,19:33,3,0,0
US,Minnesota,3/25/2020,19:33,0,0,0
US,Georgia,3/25/2020,19:33,1,0,0
US,Idaho,3/25/2020,19:33,0,0,0
US,South Dakota,3/25/2020,19:33,0,0,0
US,Vermont,3/25/2020,19:33,11,0,0
US,North Dakota,3/25/2020,19:33,0,0,0
US,Colorado,3/25/2020,19:33,0,0,0
US,Arkansas,3/25/2020,19:33,1,0,0
US,Indiana,3/25/2020,19:33,0,0,0
US,Iowa,3/25/2020,19:33,2,0,0
US,Minnesota,3/25/2020,19:33,1,0,0
US,Mississippi,3/25/2020,19:33,0,0,0
US,Missouri,3/25/2020,19:33,0,0,0
US,Oregon,3/25/2020,19:33,6,0,0
US,Tennessee,3/25/2020,19:33,0,0,0
US,Washington,3/25/2020,19:33,12,3,0
US,Michigan,3/25/2020,19:33,0,0,0
US,New Jersey,3/25/2020,19:33,819,6,0
US,South Carolina,3/25/2020,19:33,5,0,0
US,West Virginia,3/25/2020,19:33,2,0,0
US,Pennsylvania,3/25/2020,19:33,20,0,0
US,Massachusetts,3/25/2020,19:33,71,0,0
US,New Mexico,3/25/2020,19:33,48,0,0
US,Georgia,3/25/2020,19:33,0,0,0
US,Michigan,3/25/2020,19:33,10,0,0
US,North Carolina,3/25/2020,19:33,3,0,0
US,Alaska,3/25/2020,19:33,0,0,0
US,Texas,3/25/2020,19:33,69,2,0
US,Alabama,3/25/2020,19:33,0,0,0
US,Georgia,3/25/2020,19:33,6,0,0
US,Louisiana,3/25/2020,19:33,1,1,0
US,Montana,3/25/2020,19:33,0,0,0
US,Wyoming,3/25/2020,19:33,0,0,0
US,Minnesota,3/25/2020,19:33,1,0,0
US,North Dakota,3/25/2020,19:33,0,0,0
US,Idaho,3/25/2020,19:33,2,0,0
US,Iowa,3/25/2020,19:33,4,0,0
US,Indiana,3/25/2020,19:33,0,0,0
US,North Carolina,3/25/2020,19:33,0,0,0
US,Idaho,3/25/2020,19:33,40,0,0
US,Montana,3/25/2020,19:33,0,0,0
US,Nebraska,3/25/2020,19:33,0,0,0
US,Oklahoma,3/25/2020,19:33,0,0,0
US,Pennsylvania,3/25/2020,19:33,0,0,0
US,Texas,3/25/2020,19:33,1,0,0
US,Virginia,3/25/2020,19:33,0,0,0
US,Georgia,3/25/2020,19:33,0,0,0
US,Tennessee,3/25/2020,19:33,0,0,0
US,Alabama,3/25/2020,19:33,1,0,0
US,Tennessee,3/25/2020,19:33,3,0,0
US,Minnesota,3/25/2020,19:33,5,0,0
US,Idaho,3/25/2020,19:33,0,0,0
US,Mississippi,3/25/2020,19:33,4,0,0
US,Missouri,3/25/2020,19:33,0,0,0
US,South Dakota,3/25/2020,19:33,1,0,0
US,Illinois,3/25/2020,19:33,0,0,0
US,Idaho,3/25/2020,19:33,0,0,0
US,Idaho,3/25/2020,19:33,0,0,0
US,Arkansas,3/25/2020,19:33,1,0,0
US,Illinois,3/25/2020,19:33,0,0,0
US,Indiana,3/25/2020,19:33,4,0,0
US,Iowa,3/25/2020,19:33,0,0,0
US,Kentucky,3/25/2020,19:33,1,0,0
US,Missouri,3/25/2020,19:33,22,1,0
US,Nebraska,3/25/2020,19:33,0,0,0
US,West Virginia,3/25/2020,19:33,0,0,0
US,Texas,3/25/2020,19:33,0,0,0
US,Texas,3/25/2020,19:33,0,0,0
US,Louisiana,3/25/2020,19:33,25,0,0
US,Virginia,3/25/2020,19:33,1,0,0
US,North Dakota,3/25/2020,19:33,0,0,0
US,Colorado,3/25/2020,19:33,49,0,0
US,Idaho,3/25/2020,19:33,0,0,0
US,Kansas,3/25/2020,19:33,1,0,0
US,Kentucky,3/25/2020,19:33,2,1,0
US,Texas,3/25/2020,19:33,1,0,0
US,North Dakota,3/25/2020,19:33,0,0,0
US,Nebraska,3/25/2020,19:33,0,0,0
US,Utah,3/25/2020,19:33,0,0,0
US,Kentucky,3/25/2020,19:33,0,0,0
US,Nebraska,3/25/2020,19:33,0,0,0
US,Kentucky,3/25/2020,19:33,0,0,0
US,Kentucky,3/25/2020,19:33,0,0,0
US,Florida,3/25/2020,19:33,1,0,0
US,Pennsylvania,3/25/2020,19:33,1,0,0
US,Arkansas,3/25/2020,19:33,4,0,0
US,Tennessee,3/25/2020,19:33,3,0,0
US,Michigan,3/25/2020,19:33,0,0,0
US,Georgia,3/25/2020,19:33,0,0,0
US,West Virginia,3/25/2020,19:33,0,0,0
US,Texas,3/25/2020,19:33,28,0,0
US,Texas,3/25/2020,19:33,21,0,0
US,Kentucky,3/25/2020,19:33,2,0,0
US,Kentucky,3/25/2020,19:33,0,0,0
US,Iowa,3/25/2020,19:33,0,0,0
US,Florida,3/25/2020,19:33,11,0,0
US,Texas,3/25/2020,19:33,0,0,0
US,Texas,3/25/2020,19:33,0,0,0
US,Massachusetts,3/25/2020,19:33,67,0,0
US,Rhode Island,3/25/2020,19:33,24,0,0
US,Virginia,3/25/2020,19:33,0,0,0
US,Alaska,3/25/2020,19:33,0,0,0
US,Montana,3/25/2020,19:33,2,0,0
US,New York,3/25/2020,19:33,0,0,0
US,West Virginia,3/25/2020,19:33,0,0,0
US,South Dakota,3/25/2020,19:33,1,0,0
US,Georgia,3/25/2020,19:33,0,0,0
US,Texas,3/25/2020,19:33,0,0,0
US,New York,3/25/2020,19:33,11,2,0
US,Colorado,3/25/2020,19:33,5,0,0
US,Florida,3/25/2020,19:33,355,3,0
US,Illinois,3/25/2020,19:33,0,0,0
US,Indiana,3/25/2020,19:33,1,0,0
US,Kansas,3/25/2020,19:33,0,0,0
US,Minnesota,3/25/2020,19:33,0,0,0
US,Nebraska,3/25/2020,19:33,0,0,0
US,Ohio,3/25/2020,19:33,0,0,0
US,South Dakota,3/25/2020,19:33,2,0,0
US,Texas,3/25/2020,19:33,2,0,0
US,Wisconsin,3/25/2020,19:33,3,0,0
US,South Dakota,3/25/2020,19:33,0,0,0
US,North Carolina,3/25/2020,19:33,10,0,0
US,Virginia,3/25/2020,19:33,0,0,0
US,Georgia,3/25/2020,19:33,2,0,0
US,Oklahoma,3/25/2020,19:33,1,0,0
US,Iowa,3/25/2020,19:33,1,0,0
US,Missouri,3/25/2020,19:33,0,0,0
US,Virginia,3/25/2020,19:33,0,0,0
US,Virginia,3/25/2020,19:33,0,0,0
US,Pennsylvania,3/25/2020,19:33,86,0,0
US,Iowa,3/25/2020,19:33,0,0,0
US,Virginia,3/25/2020,19:33,0,0,0
US,Nebraska,3/25/2020,19:33,2,0,0
US,South Dakota,3/25/2020,19:33,0,0,0
US,Wisconsin,3/25/2020,19:33,0,0,0
US,Kentucky,3/25/2020,19:33,0,0,0
US,Georgia,3/25/2020,19:33,0,0,0
US,Alabama,3/25/2020,19:33,0,0,0
US,North Carolina,3/25/2020,19:33,12,0,0
US,Illinois,3/25/2020,19:33,0,0,0
US,Georgia,3/25/2020,19:33,1,0,0
US,North Carolina,3/25/2020,19:33,2,0,0
US,North Dakota,3/25/2020,19:33,0,0,0
US,North Dakota,3/25/2020,19:33,18,0,0
US,Texas,3/25/2020,19:33,0,0,0
US,New Jersey,3/25/2020,19:33,48,0,0
US,Texas,3/25/2020,19:33,1,0,0
US,Wisconsin,3/25/2020,19:33,0,0,0
US,Nebraska,3/25/2020,19:33,0,0,0
US,Alabama,3/25/2020,19:33,1,0,0
US,Iowa,3/25/2020,19:33,0,0,0
US,Kansas,3/25/2020,19:33,3,0,0
US,Kentucky,3/25/2020,19:33,0,0,0
US,Missouri,3/25/2020,19:33,0,0,0
US,Nebraska,3/25/2020,19:33,0,0,0
US,Ohio,3/25/2020,19:33,18,0,0
US,Pennsylvania,3/25/2020,19:33,12,0,0
US,California,3/25/2020,19:33,4,0,0
US,Idaho,3/25/2020,19:33,0,0,0
US,South Dakota,3/25/2020,19:33,0,0,0
US,Georgia,3/25/2020,19:33,2,0,0
US,North Carolina,3/25/2020,19:33,12,1,0
US,West Virginia,3/25/2020,19:33,0,0,0
US,Utah,3/25/2020,19:33,0,0,0
US,Louisiana,3/25/2020,19:33,93,0,0
US,Oklahoma,3/25/2020,19:33,0,0,0
US,California,3/25/2020,19:33,2,0,0
US,Louisiana,3/25/2020,19:33,11,1,0
US,Kentucky,3/25/2020,19:33,0,0,0
US,Louisiana,3/25/2020,19:33,0,0,0
US,Missouri,3/25/2020,19:33,0,0,0
US,North Carolina,3/25/2020,19:33,3,0,0
US,Texas,3/25/2020,19:33,0,0,0
US,Vermont,3/25/2020,19:33,1,0,0
US,Alabama,3/25/2020,19:33,2,0,0
US,Arkansas,3/25/2020,19:33,0,0,0
US,Florida,3/25/2020,19:33,0,0,0
US,Georgia,3/25/2020,19:33,0,0,0
US,Illinois,3/25/2020,19:33,0,0,0
US,Iowa,3/25/2020,19:33,0,0,0
